source_index,text,true_labels,predicted_labels,missed_labels,extra_labels,false_negative_count,false_positive_count
731,"I stretched and walked around a lot. I had hurt my back last week, so I'm making it a goal to stretch and not overwork myself. I was satisfied with the amount of exercise I was able to do.","calm, satisfied","proud, satisfied",calm,proud,1,1
732,"I was happy to know that my friends are always there for me when needed. They make me smile, and it is a secure feeling too.",happy,"calm, excited, happy, proud",,"calm, excited, proud",0,3
734,My wife surprised me with a big dinner she made.  I love her cooking so I was ecstatic!,"happy, surprised","excited, happy, proud, satisfied",surprised,"excited, proud, satisfied",1,3
739,I felt I had the love and support of my wife and children as I waited for my medical results.,happy,"happy, proud, satisfied",,"proud, satisfied",0,2
740,"I was running errands downtown, and decided to just walk around for a few hours.  I bought some heavy items and was carrying them in my backpack, so it was pretty tiring.","happy, proud, satisfied","excited, happy","proud, satisfied",excited,2,1
742,I made my own ramen yesterday with vegetables and fresh noodles. It was very good. Then I had some home made tomato mushroom soup.,"proud, satisfied","calm, excited, happy, proud, satisfied",,"calm, excited, happy",0,3
747,I love my job I love getting to help people. I work in IT and get to fix computer problems.,happy,"anxious, excited, frustrated, happy, proud, satisfied",,"anxious, excited, frustrated, proud, satisfied",0,5
749,My children telling me about what happened in school,happy,"happy, proud",,proud,0,1
753,i try every day to get very busy with that i think its the best form to get involved all the family and be very center in their mind and body,"excited, proud, surprised","calm, happy, proud, satisfied","excited, surprised","calm, happy, satisfied",2,3
758,I tried a new chili recipe for my crock pot. I love to eat so I was very excited that the recipe came out well. I was excited that the new recipe was good because that is not always the case.,"excited, satisfied","calm, excited, happy, proud",satisfied,"calm, happy, proud",1,3
760,I had steak and chicken for dinner. Salient is an understatement for how I felt about the food.,"calm, happy, satisfied","excited, happy, nostalgic, satisfied",calm,"excited, nostalgic",1,2
763,I was able to exercise and it made me feel good to take care of my body. I was satisfied with the progress I have made with my strength and can't wait to get more stronger,"calm, satisfied","calm, happy, proud, satisfied",,"happy, proud",0,2
766,"I had a good workout yesterday morning.  I've eeb having trouble sleeping, but had a good night sleep the night before, and had a great workout in the morning.","excited, happy, proud, satisfied","calm, excited, frustrated, satisfied","happy, proud","calm, frustrated",2,2
773,I am married to the most wonderful selfless man there is.,satisfied,"calm, happy",satisfied,"calm, happy",1,2
800,I just had a very busy day where I worked non-stop until the evening. It made me feel anxious as I felt I had so much to do,anxious,"anxious, calm, frustrated, satisfied",,"calm, frustrated, satisfied",0,3
801,I had fun with my family yesterday as we all met to celebrate my mother's birthday,"happy, proud","calm, excited, happy",proud,"calm, excited",1,2
804,I watched Survivor last night and the masked singer.  Love both of those shows.,calm,"calm, excited, happy, satisfied",,"excited, happy, satisfied",0,3
815,i had good crepes,calm,"calm, excited",,excited,0,1
820,I always feel anxious but yesterday was fine at work. Just the usual struggle of finding things to do between projects and assignments. It was a fairly uneventful day after finishing my morning duties.,"anxious, bored","anxious, bored, calm, frustrated, satisfied",,"calm, frustrated, satisfied",0,3
822,My wife is the sexiest woman I've ever known. She surprises me nearly every night with a new bedtime adventure and finishes my day in the best way I can imagine. Yesterday was great as usual and made me realize what a gem she is.,"excited, happy, satisfied","calm, excited, happy, proud, satisfied",,"calm, proud",0,2
823,I was able to finish my preparation for the weekly print run on time.  I was happy that I could hand the info off to my co-worker so she didn't have to rush or stay late on Friday.  I worked a lot of overtime last year and it's nice to be able to leave right around 5:30 every day now.,satisfied,"happy, proud, satisfied",,"happy, proud",0,2
827,"Yesterday I cooked a good homemade dinner for myself. I am frustrated because I am eating less and eating healthy but not losing weight. The food was really delicious and nuroushing though, so it made me happy.","confused, frustrated, happy","excited, happy, satisfied","confused, frustrated","excited, satisfied",2,2
833,"I'm also self-employed for my ""day job"" as a freelance web developer. I completed a project yesterday that had been going on since last February. It wasn't a particularly big or complicated project it just was put on hold and delayed so many times by the client. We've finally been collaborating since the new year began on getting it over with - and yesterday it was finally completed. I'm very glad to have it off my plate I certainly don't like things lingering that long. (I'm also happy that I can collect on the balance of my pay!)","happy, satisfied","anxious, excited, frustrated, happy, proud, satisfied",,"anxious, excited, frustrated, proud",0,4
837,"I enjoyed powerwalking a couple of miles after work for exercise. Getting out in the fresh, cool air, while pushing my body to walk faster made me feel good.","happy, satisfied","calm, excited, happy, proud, satisfied",,"calm, excited, proud",0,3
840,"I had been putting off a daily exercise routine on my treadmill for at least two weeks. I had been doing it fairly regularly and I suddenly quit. But I was determined to start again and last night, I did 20 minutes on my treadmill, and gradually moved the elevation as well. It was tiring but I feel I accomplished something.","excited, happy, proud","calm, excited, proud, satisfied",happy,"calm, satisfied",1,2
842,I felt good lifting weights and then going for a long walk around my neighborhood.,"happy, satisfied","calm, excited, proud, satisfied",happy,"calm, excited, proud",1,3
850,"I started working out again. I have been feeling out of shape but since it is winter, I want to start working out again. I feel happy and strong now.","excited, proud, satisfied","excited, frustrated, happy, proud, satisfied",,"frustrated, happy",0,2
854,I had a work and a project I am working on.,proud,"anxious, excited, frustrated, proud, satisfied",,"anxious, excited, frustrated, satisfied",0,4
860,My spouse was having an emotional crisis about events from his childhood. I had to give him alot of emotional support and seek to help him find a resolution.,sad,"anxious, frustrated, surprised",sad,"anxious, frustrated, surprised",1,3
866,"When I do not have meetings, I like to take my dog with me to the office. She is young but she is fun. I work in a warehouse type setting and let my dog run in the warehouse. SHe gets so tired and then sleeps for an hour. However, she is not potty trained... so that stinks.","excited, frustrated, happy","calm, frustrated, happy, proud, surprised",excited,"calm, proud, surprised",1,3
872,"I worked on mturk yesterday. I exceeded my earnings goal for the day, which made me feel satisfied. I did a few enjoyable tasks, but most were pretty boring.","bored, satisfied","bored, calm, proud, satisfied",,"calm, proud",0,2
879,We had some homemade chicken wings that I made in the oven with a special sauce. I paired it with some chicken broccoli rice and some seasoned green beans and the kids loved it. For dessert we had strawberry cheesecake. I love cooking for my family and I loved seeing their reactions when they tasted the wings.,"excited, happy","calm, excited, happy, proud, satisfied",,"calm, proud, satisfied",0,3
880,"The salient 'thing' wasn't so much about God, but about the Creation/ Intelligent Design/ Evolution topics. During some down time, I browsed a news article link, which lead me to a website and some related articles, which lead me to a topic and place nearby which contains one of the largest fossil records, records which refute the basic un-questioned and false aspects of Darwin's evolutionary theories.  A vacation plan (to visit these fossil-rich areas) immediately came to mind!","anxious, happy, surprised","calm, happy, satisfied","anxious, surprised","calm, satisfied",2,2
890,"I ate at a restaurant with a friend. However, when mt salad arrived, it had bacon and bleu cheese all over it. I failed to notice that was listed on the menu, and had to spend some time picking all of it off. I don't eat red meat or moldy cheese. After I did that, though, the salad was very good.","calm, frustrated, satisfied","calm, happy, satisfied",frustrated,happy,1,1
895,My partner got a call to do a job for a contractor he had worked for in the past. His day to day contractor had canceled the work for today and the new contractor needed some work done. My partner will be paid three times the amount of money working for the new contractor.,"calm, happy, proud","anxious, proud, satisfied","calm, happy","anxious, satisfied",2,2
902,I was able to take a great nap during the day. I usually don't get the chance but it made me feel really calm and refreshed.,calm,"calm, satisfied",,satisfied,0,1
912,I really love my job.  I have a good time doing it and am very happy.,happy,"happy, proud, satisfied",,"proud, satisfied",0,2
914,I do have so funny and annoying friends,awkward,"angry, bored, excited, happy",awkward,"angry, bored, excited, happy",1,4
915,"I had a phone conversation with my mother yesterday, talking about Christmas gifts for my brother.  We accomplished what we wanted and decided what we're each getting him, so that's good.  It was a productive call.  Otherwise we didn't talk about much and I was relaxed during our chat.  It wasn't that eventful but I was pleased to be making progress towards getting my Christmas shopping done.","calm, satisfied","calm, happy, proud, satisfied",,"happy, proud",0,2
919,"I did some Christmas crafts yesterday with my boyfriend and had a nice time doing it, it was very relaxing.","happy, satisfied","calm, happy, satisfied",,calm,0,1
927,I went out for dinner with my team to my favorite Mexican restaurant as a celebration. The food and drinks were excellent and we had a lot of fun. Made me feel full of energy and brought me a great deal of joy.,"excited, happy","excited, happy, satisfied",,satisfied,0,1
928,"I came home yesterday to find the lawn all picked up. It was nice seeing the house and property looking ship-shape. My mom had come by to do this without my knowing, I found out later.",happy,"excited, happy, proud, satisfied",,"excited, proud, satisfied",0,3
933,I enjoy my job and I feel good about my day when I help my students or have a positive impact on them in some way.,"happy, satisfied","calm, happy, proud, satisfied",,"calm, proud",0,2
934,I am trying to set a routine for sleep and have met with success.,satisfied,"anxious, calm, happy, satisfied",,"anxious, calm, happy",0,3
935,"I got my grade back for my first big assignment in my theory class. I made a 100. It really surprised me, as the theories are difficult to grasp, and it's basically a two page paper. over different things throughout the chapter. I expected to do reasonably well because I studied and put a lot of effort into it but the 100 was better than I expected.","proud, surprised","excited, frustrated, proud, satisfied",surprised,"excited, frustrated, satisfied",1,3
947,i appreciate my family so much. they're very supportive and always there for me.,"nostalgic, proud, satisfied","calm, happy, proud, satisfied",nostalgic,"calm, happy",1,2
951,I exercise almost every day and it always leaves me feeling strong and healthy.,excited,"calm, excited, happy, proud, satisfied",,"calm, happy, proud, satisfied",0,4
954,I am proud of my family for all that they do they bring joy to my life,proud,"happy, proud",,happy,0,1
955,I am lucky to have a job that I enjoy and I am able to get paid for work that i like and that is rewarding in seeing disabled students succeed.,satisfied,"happy, proud, satisfied",,"happy, proud",0,2
957,teresa finally called back and it took her all of 10 minutes to get worked up again. I'm a about sick of this yeast and bi-polar  BS. I'll just handle it like the last 27 years. These autumn/holidays annual depressions are so predictable. She was rewriting history again. I wish she would quit taking every subtle difference of opinion as a personalttack!,"angry, anxious, frustrated","happy, proud, satisfied","angry, anxious, frustrated","happy, proud, satisfied",3,3
959,Sleeping makes me feel energized and prepared for the next things to come. Which makes me less anxious overall.,calm,"anxious, calm, excited, satisfied",,"anxious, excited, satisfied",0,3
960,We all enjoy a family meal together and talk about our day.,"calm, satisfied","calm, happy, satisfied",,happy,0,1
968,Praying to God is something a do daily. It brings a calmness and acceptance of things. It is my way of appreciating all the blessings that come my way.,calm,"calm, happy, satisfied",,"happy, satisfied",0,2
969,"Went to work out at the gym and it was leg day, liked the time i spent.",happy,"calm, happy, satisfied",,"calm, satisfied",0,2
970,Exercise is important part of my life because it helps with stress from work.,"happy, satisfied","calm, happy, satisfied",,calm,0,1
980,"I pray every morning, but today was different. This morning when I was praying I felt a sense of relief. Relief that I have been asking for in my prayers. There has been so much turmoil in my life lately. My Mom recently passed away after a long sickness in which I had cared for her. That started about 5 yearrs ago. I am still trying to find my new normal. Not having her here everyday is very strange, and sad at the same time. I find extreme comfort in praying. Today one of my prayers were definitely answered. Thank you God.",satisfied,"anxious, frustrated, happy, proud, sad, satisfied",,"anxious, frustrated, happy, proud, sad",0,5
995,Last night I spent the night with my wife watching a good movie as we laid together holding each other.,happy,"calm, happy, satisfied",,"calm, satisfied",0,2
1002,"I tried a new lasagna recipie yesterday, it turned out to be very good.  My family was very happy with it","excited, happy, satisfied","calm, excited, happy, proud, satisfied",,"calm, proud",0,2
1008,Yesterday I was able to get to work on time. I did all my task on time and was able to leave early. I was proud of myself for completing every task. It was a smooth day overall.,"proud, satisfied","excited, happy, proud, satisfied",,"excited, happy",0,2
1011,I played video games a bit toward the end of my day as I started to feel better. It was a nice distraction.,satisfied,"calm, happy, proud, satisfied",,"calm, happy, proud",0,3
1012,"Yesterday I was reminded that my SO will do anything for me, no matter the extra effort it takes on their part. I was taken care while being sick and I was humbled and grateful to know how much I was cared for.",happy,"calm, happy, satisfied",,"calm, satisfied",0,2
1014,It's been warming up where I live so yesterday I picked up the golf club for the first time in months and did a few practice swings.,proud,"calm, excited, happy, proud, satisfied",,"calm, excited, happy, satisfied",0,4
1015,"Got some really good sleep yesterday, the dreams were fun.",calm,"calm, happy, satisfied",,"happy, satisfied",0,2
1016,I was super tired by the time evening rolled around and when our kids went to bed I laid down with my wife and chatted until I dozed off.,happy,"calm, happy, satisfied",,"calm, satisfied",0,2
1017,"By recreation, I mean my time at night to kick back in front of Netflix for a couple of hours and take in the Walking Dead series.",happy,"calm, frustrated, happy, satisfied",,"calm, frustrated, satisfied",0,3
1019,Yesterday I had a very good night sleep. I was very happy.,happy,"calm, happy, satisfied",,"calm, satisfied",0,2
1020,I was able to keep up with my daily eating schedule and was not tempted by outside food.,"calm, happy","calm, excited, happy, proud, satisfied",,"excited, proud, satisfied",0,3
1021,I cooked a real meal.  It took way too much time and effort for how flavorless it was.  It tool forever to clean up and I got no help.,"afraid, anxious, frustrated","calm, happy, satisfied","afraid, anxious, frustrated","calm, happy, satisfied",3,3
1036,I was working on a project at work i was having issues with. Made me very upset and confused.,"anxious, confused, frustrated, satisfied","anxious, frustrated, proud","confused, satisfied",proud,2,1
1038,I got chipolte and I loved it. It was very comforting after a long day.,happy,"calm, excited, happy, satisfied",,"calm, excited, satisfied",0,3
1039,"Had a test i wasnt ready for, and im not sure how i did on it.",anxious,"anxious, calm, frustrated",,"calm, frustrated",0,2
1044,I love falling asleep after having a nice big meal!  I feel very warm and contented and it's easy to sleep!,calm,"calm, happy, satisfied",,"happy, satisfied",0,2
1045,"My husband left work early to surprise us on the ""ice day"".  We weren't expecting him to come home so it was truly special for him to spend this time with us.","excited, happy, surprised","excited, happy, satisfied, surprised",,satisfied,0,1
1056,Today I prayed to God. It helped me connect with Him.,"happy, proud","calm, excited, satisfied","happy, proud","calm, excited, satisfied",2,3
1059,"At the end of the night, snuggled up on the couch with my dog and a blanket and reading a good book.  There is just something very peaceful and relaxing when you are all snuggled up on a cold night","calm, happy","calm, satisfied",happy,satisfied,1,1
1066,The third salient thing would be my family. I got to see my mom yesterday after work and spend the rest of the evening with my husband eating dinner together and watching a movie.,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
1070,"Working throughout the day was probably the least salient thing I did yesterday. Since I was already exhausted, working just felt like a chore and I couldn't wait to just relax and do nothing. I knew I had a daily quota to fill and begrudgingly finished all my work, although I felt fairly useless.","bored, satisfied","bored, calm, excited, happy, satisfied",,"calm, excited, happy",0,3
1071,Working on my health is an important part of my day and one that is noticeable to those around me often. I am working on losing some weight and trying to get in better health after some recent health problems. i am doing better but its still a struggle that bugs me each and everyday.,"anxious, ashamed","anxious, calm, happy, proud, satisfied",ashamed,"calm, happy, proud, satisfied",1,4
1072,I WENT TO MY DAUGHTERS BASKETBALL GAME. SHE PLAYED WELL. I ENJOY GOING TO THE GAMES AND CHEERING HER ON.,"excited, happy, proud","excited, happy, nostalgic",proud,nostalgic,1,1
1076,Can we be better than this or what is different.  We must look forward to our families and our life for better with the blessing of our friends support.,"calm, happy, proud","calm, happy, satisfied, surprised",proud,"satisfied, surprised",1,2
1077,iI enjoy my work and know that it helps many others in my teaching the pre k children I reach out to the children and to the parents and extended families .I also enjoy working as a Turker enjoying the surveys of varied hits.,proud,"calm, happy, proud, satisfied",,"calm, happy, satisfied",0,3
1082,Eating good food is enjoyable.,"nostalgic, satisfied","happy, satisfied",nostalgic,happy,1,1
1093,"When I spend time with my partner and daughter, I feel calm, happy, and satisfied. We argue sometimes, but mostly we are super close and love hanging out together.","calm, happy, satisfied","calm, excited, happy, satisfied",,excited,0,1
1109,"After a day of fulfillment, I satisfied when I go to bed.",satisfied,"bored, calm, satisfied",,"bored, calm",0,2
1115,I made home-made burritos and rice today. It was the perfect meal for a cold day.,proud,"calm, excited, happy, satisfied",proud,"calm, excited, happy, satisfied",1,4
1117,"food is very important to me. without the delicious food i get to eat today that is provided by my shelter i would not be able to keep living, so i would say that is very important",happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
1127,Being helthy in life is very very important to insure that we are able to live a longer happier life. So that we can be there for our children.,proud,"calm, excited, happy, proud, satisfied",,"calm, excited, happy, satisfied",0,4
1130,My relationship with God is as strong as ever as I have counted on Him to get me out of tough times. My money situation hasn't been the greatest over the past few months and we are finally starting to see the light at the end of the tunnel and it is due to the guidance and wisdom that came from praying. Yesterday I took the time to thank God for the help in these areas.,"calm, happy, proud, satisfied","calm, excited, happy, proud, satisfied",,excited,0,1
1135,My wfe told me she missed me when she woke up and I was not in bed. She went on and on about it. She was genuine and I felt loved and cared for.,happy,"anxious, calm, happy, satisfied, surprised",,"anxious, calm, satisfied, surprised",0,4
1137,I was working the majority of the day otherwise.  But a lot of the tasks were repetitious.,bored,"anxious, calm, frustrated, satisfied",bored,"anxious, calm, frustrated, satisfied",1,4
1147,I really really enjoy bed time. lol. Every night when I crawl into bed it is the most relaxing part of my day. I think it may be one of the most favorite parts of my day ( aside from babysitting my grandbabies).,"calm, satisfied","calm, happy, satisfied",,happy,0,1
1150,"Part of my son's birthday wish was to go to the indoor trampoline park. I'm not built for that. I was so tired the entire time I think I was going to a die a few times. I remember telling my wife, if I go down just assume I'm dead and find a new husband...","frustrated, happy, satisfied","excited, happy, proud","frustrated, satisfied","excited, proud",2,2
1154,I was proud becasue I was getting all my work done and finding things to finish and completes,proud,"excited, proud, satisfied",,"excited, satisfied",0,2
1158,I was satisfied to eat some scrumptious food.  It was wonderful to taste the good flavors.  I did feel guilty though that I ate all those calories.,"ashamed, happy, satisfied","calm, excited, satisfied","ashamed, happy","calm, excited",2,2
1159,I like taking care of myself physically and how it makes me look and feel.,satisfied,"happy, proud, satisfied",,"happy, proud",0,2
1162,I made a roast.It was good.I cut up alot of healthy vegtables in it.,satisfied,"calm, happy, satisfied",,"calm, happy",0,2
1171,I talked to a friend yesterday that I have not talked to in a long time. Catching up with him was really interesting and exciting. I wish we could do that more often.,"excited, happy, nostalgic","excited, happy, nostalgic, surprised",,surprised,0,1
1173,"Well, I got the biopsy results and they were benign. Hallelujah!",happy,"excited, happy, proud",,"excited, proud",0,2
1180,having my family together for dinner. its always a good thing,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
1184,OUr friends went walking with us. We enjoy spending time with them,"calm, excited, happy","excited, happy, proud, satisfied",calm,"proud, satisfied",1,2
1186,It was a really easy day at work so I got to spend a good chunk of it turking and making some extra money,calm,"calm, happy, satisfied",,"happy, satisfied",0,2
1204,I walked for 3 miles yesterday which is more than my target for a day,"excited, happy","calm, happy, proud, satisfied",excited,"calm, proud, satisfied",1,3
1207,I was able to go to church yesterday and that was what really set my day to be a good day. I like when I am able to have time to establish my faith and to participate in a church service.,"calm, happy, satisfied","calm, excited, happy, proud, satisfied",,"excited, proud",0,2
1208,I worked really hard at work yesterday. So much without a break that i pretty much crashed when my head hit the pillow. I felt so tired that I hope i get enough sleep to reenergize myself for tomorrow.,"frustrated, satisfied","bored, calm, frustrated, proud, satisfied",,"bored, calm, proud",0,3
1215,"I enjoyed baking scones yesterday. The recipe was a new one -- a copycat of a scone I can't get at a particular store any more -- and it turned out really well (and was simple to make, too). It's terrific!",calm,"excited, happy, proud, satisfied",calm,"excited, happy, proud, satisfied",1,4
1227,I was happy about how my spiritual life with God has been going.  I have been praying more and resting in God and feeling calm and peaceful.  I was satisfied in growing closer in my walk with God.,"calm, happy, satisfied","calm, excited, happy, satisfied",,excited,0,1
1228,I did a lot of running and jogging.,proud,"frustrated, satisfied",proud,"frustrated, satisfied",1,2
1229,I really needed to catch up on sleep so I took a nap in the middle of the day and that felt great.,"calm, happy, satisfied","calm, happy, satisfied",,,0,0
1232,Eating my favorite food is always a satisfying an happy times for me. It brings back good and meaningful nostalgic feelings of a time when I was younger.,"happy, nostalgic, satisfied","calm, happy, nostalgic, satisfied",,calm,0,1
1234,We went grocery shopping and I got some really good food we needed and no junk this time. That makes me feel good about it most. I am going to be healthy and loose weight now.,calm,"calm, happy, satisfied",,"happy, satisfied",0,2
1241,Work is work. There are ups and downs but yesterday was good. I got a lot of things done and I had a good time occasionally having a chat with my boss about non-work stuff. It was a good day at work.,"calm, satisfied","calm, frustrated, happy, proud, satisfied",,"frustrated, happy, proud",0,3
1248,I had a great workout today. Everything flowed and I felt strong. I warmed up by playing some basketball then ran a couple of miles and then did sprints. I felt alive and working out really cleared my mind today.,"calm, happy, proud","excited, happy, proud, satisfied",calm,"excited, satisfied",1,2
1252,The food I had was delicious. My girlfriend prepared a very nice meal. It had me ready to take on the rest of the night.,satisfied,"calm, happy, satisfied",,"calm, happy",0,2
1255,i slept so good and hard like a baby it was relaxing and i needed to get some rest so i felt so much better the next day,"calm, satisfied","calm, happy, satisfied",,happy,0,1
1256,"I love going to bed at night and getting much needed rest, i am always looking forward to the next day and what lies ahead.",satisfied,"calm, satisfied",,calm,0,1
1257,"Thr aforementioned ""alone time""w ith my wife last night.  We made love, and as always, it was a pleasurable experience.","excited, happy, proud, satisfied","calm, excited, happy, satisfied",proud,calm,1,1
1264,I took a nap and have a very good rest.,satisfied,"calm, happy",satisfied,"calm, happy",1,2
1267,I don't usually get enough sleep so it's always good when I can get to bed a little early and try to catch up.,satisfied,calm,satisfied,calm,1,1
1271,I made breakfast and lunch for my family yesterday and we had leftovers at dinner.,"happy, nostalgic","calm, excited, happy, proud, satisfied",nostalgic,"calm, excited, proud, satisfied",1,4
1275,by excercising my heart it was such a great meeting of my body and mind. I felt extremely calm afterword.,calm,"calm, happy, proud",,"happy, proud",0,2
1278,Work was typical.  I was frustrated by the stupid paperwork and other crap that I have to do instead of just being allowed to do my job.,"anxious, frustrated","anxious, bored, frustrated, proud, satisfied",,"bored, proud, satisfied",0,3
1279,It was nice to play a video game before work yesterday. I don't always get a lot of time to play but this new game I have is pretty fun even in small amounts. It's nice to still be able to do it once and a while.,happy,"calm, excited, happy, proud, satisfied",,"calm, excited, proud, satisfied",0,4
1285,I spent time with God. It was very relaxing.,"calm, happy","calm, excited, happy, satisfied",,"excited, satisfied",0,2
1287,I enjoyed doing arts and crafts much of the day,calm,"calm, happy, satisfied",,"happy, satisfied",0,2
1294,I spent quite a bit of time talking to my significant other about our day. We ate dinner together then relaxed with a cup of hot cocoa as the snow fell outside,"calm, happy, satisfied","calm, excited, happy, satisfied",,excited,0,1
1306,i slept 8 hours,happy,"calm, frustrated, happy, surprised",,"calm, frustrated, surprised",0,3
1308,"It was a slow day, one of the few slow days we've had at work. This means that I was able to get some of my personal stuff done that I have been putting off. So i felt rather accomplished.",happy,"excited, proud, satisfied",happy,"excited, proud, satisfied",1,3
1313,"I made money and a large performance bonus, which is much needed and appreciated. Because of how large it was, I'll be able to buy all the presents for xmas that I want to buy and make a great Christmas for my family.","calm, satisfied","calm, happy, satisfied",,happy,0,1
1319,"I spent quite a while chatting with my boyfriend over the phone last night. We live very far apart, and had just spent a 4 day weekend together but now are separated again so I was really missing him. We texted for well over an hour and it was really nice to catch up after being a part for a few days now. I miss him terribly.","excited, happy, satisfied","calm, happy, satisfied",excited,calm,1,1
1320,"I slept really good last night, but I didn't get enough sleep the two nights before that. I feel pretty good today, so the sleep was restorative.",satisfied,"calm, satisfied",,calm,0,1
1329,I made myself dinner before going to work. I was in a rush so I made a sandwich on a bagel and ate it. I also ate a Girl Scout cookie as dessert. It was fairly normal.,"calm, happy","anxious, calm, excited, frustrated, happy",,"anxious, excited, frustrated",0,3
1332,I ate quite ab it of good food. Girlfriend made buffalo chicken dip we ate with romaine lettuce. It was delicious. Reasonably salient because it's healthy and we're both losing weight pretty quickly.,"happy, satisfied","excited, happy, satisfied",,excited,0,1
1337,I saw my friend Nick yesterday. We played video games together. It was fun. I was happy.,happy,"excited, happy, nostalgic",,"excited, nostalgic",0,2
1339,I was really happy about going to the gym to exercise. I wanted to take some time for me and take care of myself.,"excited, happy, proud","calm, happy, proud, satisfied",excited,"calm, satisfied",1,2
1340,"Earlier in the day I took my son for a well visit at his pediatrician and it went very well. He cooperated with the doctor and the nurse, and even said he had a fun time afterwards.",proud,"calm, happy, proud, satisfied, surprised",,"calm, happy, satisfied, surprised",0,4
1342,"I had taken and participated in a new excercise class, that primarily would target the whole body in addition to cardiovascular excercise. It was a difficult experience, but I managed to perform all the excercises to a great ability, without feeling overtly exhausted or sore. Afterwards, I felt empowered and happy for participating in class, feeling motivated to pursue similar experiences in the future.","happy, satisfied","anxious, excited, happy, proud, satisfied",,"anxious, excited, proud",0,3
1348,"I didn't lose my appetite. But I can only eat soft foods, especially the first day. So I was hungry and jealous of everyone around me eating normally.","afraid, jealous","anxious, frustrated","afraid, jealous","anxious, frustrated",2,2
1352,I bought a bunch of snack foods since I had to work late and miss dinner. I decided to buy some snack foods I hadn't eaten in a long time but have been favorites since childhood such as pretzels and peanut butter crackers.,"happy, nostalgic","frustrated, happy, proud, satisfied",nostalgic,"frustrated, proud, satisfied",1,3
1354,i like doing exercise to release stress,satisfied,"calm, proud, satisfied",,"calm, proud",0,2
1356,I got a bonus payment for december and i am very happy for that.,happy,"excited, happy, proud, satisfied",,"excited, proud, satisfied",0,3
1359,My back has been bothering me.  It has prevented me from getting a good night's sleep.,"anxious, awkward, frustrated","anxious, calm, frustrated, satisfied",awkward,"calm, satisfied",1,2
1363,I started knitting a hat yesterday. I made good progress on the ribbed part of the hat and I used my new needles. They're really nice.,"excited, happy","calm, happy, proud, satisfied",excited,"calm, proud, satisfied",1,3
1369,"I went for a nice job this morning, it got the blood flowing and made me feel alert.","excited, happy","calm, excited, nostalgic, proud, satisfied",happy,"calm, nostalgic, proud, satisfied",1,4
1370,"I finally got up and worked out yesterday after a couple of weeks of not being able to get back into it. It made me feel powerful and in control, and helped me get back on track with my workout routine.",satisfied,"calm, excited, happy, proud, satisfied",,"calm, excited, happy, proud",0,4
1378,I got to spend time outside walking with my wonderful girlfriend. I felt very loved and appreciated just by being with her.,proud,"excited, happy, proud, satisfied",,"excited, happy, satisfied",0,3
1379,The lights kinda disturbed us when they fell and our dog being scared.,confused,"calm, excited, happy, satisfied",confused,"calm, excited, happy, satisfied",1,4
1382,"After hearing the result from my relative, I need some time reflecting about myself. I prayed that she will be healed and I imagine how I feel when I am in her position. Maybe death won't be so bad because I can meet God then.","calm, satisfied","anxious, excited, frustrated, happy, proud, satisfied",calm,"anxious, excited, frustrated, happy, proud",1,5
1384,I talked with my son online in The Netherlands. It was good to see him again.,"excited, happy, proud","happy, proud, satisfied, surprised",excited,"satisfied, surprised",1,2
1386,"I slept in until almost noon. I never sleep that late, it was very surprising to me.","confused, surprised","calm, happy, satisfied, surprised",confused,"calm, happy, satisfied",1,3
1390,I am very thankful for my family. I am glad to be with them each day. It makes me think of all the things I cherish.,"calm, happy, nostalgic","calm, happy, proud, satisfied",nostalgic,"proud, satisfied",1,2
1393,At work it was a really slow day. I could not wait to get off and go home. There was too many things to do at my job. It was a really long tiring day.,"anxious, bored","anxious, bored, frustrated, satisfied",,"frustrated, satisfied",0,2
1398,I played some video games before work. I enjoyed myself. I gave me time to relax and have a good time.,"calm, happy","calm, happy, satisfied",,satisfied,0,1
1403,I really am angry with my 18 year old son right now.  I wish that he would stop abusing substances.  He moved out.  I'd like him back but only under certain conditions.,angry,"frustrated, happy, proud, sad",angry,"frustrated, happy, proud, sad",1,4
1407,"Although one might think pizza is not good for you, I basically stuck to my plan of trying to only eat once a day for the most part. I ate the pizza and then later I ate a banana with peanut butter. I was happy because I didn't over eat. I ate the right amount of food which made me happy.",proud,"excited, happy, satisfied",proud,"excited, happy, satisfied",1,3
1410,"After being with my boyfriend, I slept so good last night and I really needed the sleep as I hadn't had enough lately.","calm, satisfied","calm, happy, satisfied",,happy,0,1
1423,My brother just found out he has lung cancer. I have been doing research on things like alternative therapy along with chemo and radiation and sending him the info. This is my older brother who I haven't seen in probably 5 years. I am planning a trip to go see him soon.,"afraid, anxious, sad","excited, frustrated, happy, proud","afraid, anxious, sad","excited, frustrated, happy, proud",3,4
1424,"I always enjoy spending time with my good friends. Although I don't have a lot of friends, the ones I do have I am very close with. I enjoy their company. Being around them makes me feel good, and we usually always wind up laughing about something.","happy, satisfied","calm, excited, happy, proud, satisfied",,"calm, excited, proud",0,3
1430,I took up power walking two months ago and I've lost weight and feel great. This is one of the most important things I've done for myself in years.,calm,"calm, happy, proud, satisfied",,"happy, proud, satisfied",0,3
